game_language,model,game,experiment,instance,author_role,agentive_persons,user_mentioned,player_count,loops,frustration,confusion,excitement,trace_language_count,suspects_deception,intends_deception,main_score,aborted,lose,success
de,claude-sonnet-4-20250514-t1.0,clean_up,2_hard_5obj_de,00000,1.0,0.6752136752136753,0.0,1.5897435897435896,0.0,0.13675213675213677,0.26495726495726496,0.1111111111111111,1.0,0.0,0.0,95.45454545454545,0,0,1
de,claude-sonnet-4-20250514-t1.0,clean_up,2_hard_3obj_de,00000,1.0,0.7634408602150538,0.0,1.7634408602150538,0.0,0.0,0.3548387096774194,0.45161290322580644,1.0,0.0,0.0,92.85714285714286,0,0,1
de,claude-sonnet-4-20250514-t1.0,dond,coop_de,00017,1.0,1.0,0.0,2.0,0.0,0.0,0.5625,0.8125,1.0,0.0,0.40625,56.25,0,0,1
de,claude-sonnet-4-20250514-t1.0,dond,coop_de,00019,1.0,1.2916666666666667,0.0,2.2916666666666665,0.0,0.0,0.0,1.25,1.125,0.0,0.4166666666666667,100.0,0,0,1
de,claude-sonnet-4-20250514-t1.0,dond,coop_de,00015,1.0,1.2916666666666667,0.0,2.2916666666666665,0.0,0.0,0.0,1.6666666666666667,1.0,0.0,0.125,100.0,0,0,1
de,claude-sonnet-4-20250514-t1.0,dond,semi_de,00010,1.0,1.09375,0.0,2.09375,0.0,0.0,0.0,0.65625,1.0,0.0,0.34375,100.0,0,0,1
de,claude-sonnet-4-20250514-t1.0,dond,semi_de,00018,1.0,1.0,0.0,2.0,0.0,0.6590909090909091,0.36363636363636365,0.1590909090909091,1.25,0.0,0.06818181818181818,0.0,0,1,0
de,claude-sonnet-4-20250514-t1.0,dond,semi_de,00015,1.0,1.0,0.0,2.0,0.0,0.0,0.3181818181818182,2.5454545454545454,1.0,0.0,0.8181818181818182,100.0,0,0,1
de,gpt-oss-120b-t1.0,hot_air_balloon,air_balloon_survival_de_reasoning off_easy,00000,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,100.0,0,0,1
de,gpt-oss-120b-t1.0,hot_air_balloon,air_balloon_survival_de_negotiation_hard,00001,1.0,1.0,0.0,2.0,0.0,0.0,0.375,0.1875,1.4375,0.0,0.0625,0.0,1,0,0
de,gpt-oss-120b-t1.0,hot_air_balloon,air_balloon_survival_de_complexity_easy,00003,1.0,0.375,0.0,1.375,0.0,0.0,1.0,0.0,1.375,0.0,0.0,99.26177565819559,0,0,1
de,gpt-oss-120b-t1.0,hot_air_balloon,air_balloon_survival_de_reasoning off_hard,00004,1.0,0.9361702127659575,0.02127659574468085,1.9361702127659575,0.0,0.0851063829787234,1.2127659574468086,0.10638297872340426,1.0851063829787233,0.02127659574468085,0.0,81.56592105599961,0,0,1
de,gpt-oss-120b-t1.0,hot_air_balloon,air_balloon_survival_de_complexity_hard,00000,1.0,1.0,0.0,2.0,0.0,0.0,2.25,0.625,1.0,0.0,0.0,97.39271255060729,0,0,1
de,gpt-oss-120b-t1.0,hot_air_balloon,air_balloon_survival_de_negotiation_easy,00005,1.0,0.625,0.0,1.625,0.0,0.0,1.125,0.5,1.125,0.0,0.0,98.75186289120715,0,0,1
de,gpt-oss-120b-t1.0,clean_up,1_medium_3obj_de,00001,1.0,0.5483870967741935,0.0,1.5483870967741935,0.0,0.25806451612903225,2.2580645161290325,0.2903225806451613,1.2580645161290323,0.0,0.0,6.519120211856665,0,0,1
de,gpt-oss-120b-t1.0,clean_up,0_easy_5obj_de,00002,0.6509433962264151,0.5,0.08490566037735849,1.150943396226415,0.0,0.08490566037735849,1.5849056603773586,0.0,1.528301886792453,0.0,0.0,92.85714285714286,0,0,1
de,gpt-oss-120b-t1.0,clean_up,0_easy_7obj_de,00002,0.7866666666666666,0.58,0.0,1.3,0.04,0.16,1.9533333333333334,0.17333333333333334,1.42,0.0,0.0,75.58618563894505,0,0,1
de,gpt-oss-120b-t1.0,clean_up,2_hard_5obj_de,00001,0.8369565217391305,1.065217391304348,0.2391304347826087,1.7608695652173914,0.0,0.08695652173913043,2.0434782608695654,0.05434782608695652,1.4673913043478262,0.0,0.0,76.57141544563585,0,0,1
de,gpt-oss-120b-t1.0,clean_up,2_hard_3obj_de,00000,0.978494623655914,0.6881720430107527,0.0,1.6666666666666667,0.0,0.4838709677419355,3.043010752688172,0.053763440860215055,1.2365591397849462,0.0,0.0,88.46153846153845,0,0,1
de,gpt-oss-120b-t1.0,dond,coop_de,00011,1.0,0.875,0.0,1.875,0.0,0.0,1.4166666666666667,0.2916666666666667,1.2916666666666667,0.0,0.0,0.0,0,1,0
de,gpt-oss-120b-t1.0,dond,coop_de,00014,0.8636363636363636,1.0,0.13636363636363635,1.8636363636363635,0.0,0.0,1.7727272727272727,0.0,1.5,0.0,0.45454545454545453,0.0,0,1,0
de,gpt-oss-120b-t1.0,dond,coop_de,00015,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,1,0
de,gpt-oss-120b-t1.0,dond,semi_de,00019,1.0,1.0,0.0,2.0,0.0,0.0,1.375,0.09375,1.46875,0.0,0.0,100.0,0,0,1
de,gpt-oss-120b-t1.0,dond,semi_de,00001,1.0,1.0,0.0,2.0,0.0,0.0,2.2857142857142856,0.21428571428571427,1.0,0.0,0.0,100.0,0,0,1
de,gpt-oss-120b-t1.0,dond,semi_de,00013,1.0,1.0,0.0,2.0,0.0,0.18181818181818182,2.3636363636363638,0.0,1.6818181818181819,0.0,0.0,80.0,0,0,1
de,qwen3-next-80b-a3b-thinking-t1.0,hot_air_balloon,air_balloon_survival_de_reasoning off_easy,00002,1.0,1.0,0.0,2.0,0.0,0.625,3.0,0.625,2.0,0.0,0.0,100.0,0,0,1
